outdir,nCO,nHet,sizeHetall,sizeHet_het,nGoutcross,cross,N
output/panelA_N4000_nGoutcross4_nloci500,21.76598938695713,60,1.1348101265822785,2.9883333333333337,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.865202158380967,64,0.9908227848101266,2.44609375,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,21.90601343952607,74,1.3746835443037975,2.9351351351351354,4,A,4000
output/panelA_N4000_nGoutcross4_nloci500,20.44209530492751,54,0.8208860759493671,2.401851851851852,4,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.571061653466444,57,1.1360759493670887,3.149122807017544,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.34355204425451,65,1.6012658227848102,3.8923076923076927,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.635700938221568,59,1.07626582278481,2.882203389830509,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.902200235995423,50,1.1079113924050634,3.5010000000000003,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,23.07011925607724,68,1.1193037974683544,2.6007352941176474,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.879552981256953,62,1.1674050632911392,2.975,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.593580972665745,73,1.563607594936709,3.384246575342466,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.240274537942,52,0.9430379746835443,2.8653846153846154,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,21.98248669915173,58,0.9031645569620254,2.460344827586207,5,A,4000
output/panelA_N4000_nGoutcross5_nloci500,22.998933959390367,69,1.237974683544304,2.8347826086956522,5,A,4000
