gpos1,gpos2,mean.r2,nobs,chrom,panel,domain
0.30000000000000004,0.4,0.2851154469023556,13127909,II,α&β,arm&center
0.4,0.5,0.2624318257999383,9591130,II,α&β,arm&center
0.5,0.6000000000000001,0.26657206138759915,5824967,II,α&β,arm&center
0.6000000000000001,0.7000000000000001,0.27302577433425124,6122552,II,α&β,arm&center
0.7000000000000001,0.8,0.26136530919097584,6363896,II,α&β,arm&center
0.8,0.9,0.25444279976681455,6591049,II,α&β,arm&center
0.9,1,0.2480234470536855,6901235,II,α&β,arm&center
1,1.1,0.23273094297353647,7291133,II,α&β,arm&center
1.1,1.2000000000000002,0.21034568957249855,6149176,II,α&β,arm&center
1.2000000000000002,1.3,0.19555268897717001,5275617,II,α&β,arm&center
1.3,1.4000000000000001,0.19353610219306508,4611230,II,α&β,arm&center
1.4000000000000001,1.5,0.19263986063421748,4034566,II,α&β,arm&center
1.5,1.6,0.19876263583759438,3117435,II,α&β,arm&center
1.6,1.7000000000000002,0.2124701858746619,2937450,II,α&β,arm&center
1.7000000000000002,1.8,0.20022141547060426,3499906,II,α&β,arm&center
1.8,1.9000000000000001,0.19370158932909906,4188546,II,α&β,arm&center
1.9000000000000001,2,0.20869104719187492,5410587,II,α&β,arm&center
2,2.1,0.21320284694258812,6334069,II,α&β,arm&center
2.1,2.2,0.1999452705930512,6866271,II,α&β,arm&center
2.2,2.3000000000000003,0.20821832395538453,6214233,II,α&β,arm&center
2.3000000000000003,2.4000000000000004,0.19194377983953118,5844489,II,α&β,arm&center
2.4000000000000004,2.5,0.18201543357160363,4784846,II,α&β,arm&center
2.5,2.6,0.18237516300043616,3617326,II,α&β,arm&center
2.6,2.7,0.181275959677428,2619718,II,α&β,arm&center
2.7,2.8000000000000003,0.18266058151143713,2354135,II,α&β,arm&center
2.8000000000000003,2.9000000000000004,0.18839585814665233,2464128,II,α&β,arm&center
2.9000000000000004,3,0.1863699929210609,2677177,II,α&β,arm&center
3,3.1,0.1787771076567382,2713000,II,α&β,arm&center
3.1,3.2,0.17276362709955398,2634918,II,α&β,arm&center
3.2,3.3000000000000003,0.16900263320944783,2883204,II,α&β,arm&center
